type_rumor;title;date;content
"DESINFORMATION";"Mosquée sur la tour Eiffel";"Avril 2011";"Finalement, elle sera construite, la . Merci Anne Hidalgo !... Mais a-t-on demandé leur avis aux Français ?L’information vient de tomber : une petite mosquée sera finalement construite au 1er  étage de la Tour Eiffel. Le projet était en gestation depuis 3 Ans, sous la pression de  plus en plus forte des musulmans français et étrangers dont le nombre de visites ne fait que progresser depuis 10 ans. Impossible en effet pour les adeptes de l'islam, de prier lorsque la dame de fer n'est pas  pacifiquement conquise. La mosquée, d'une capacité d'accueil de cinquante personnes, sera orientée vers La Mecque et donc construite entre le pilier Sud et le pilier Est de la tour. Le Président  du Conseil Français du Culte Musulman et le Recteur de la Grande Mosquée de Paris ont été  les principaux acteurs du projet et du montage financier dont 50% des   fonds sont publics (Impôt des Francais)  et 50% proviennent d'un grand pays du Golfe Persique - le coût étant resté confidentiel. Y a-t-il déjà une chapelle, un temple et une synagogue dans la noble tour de fer ?   NON Pauvre France ! Et pauvre gauche française !  Alors que de nouvelles mosquées fleurissent dans toutes les villes de France, combien  d’églises ont été construites au cours de ces vingt dernières années, au titre de la réciprocité et de la tolérance, en Algérie, au Mali, en Arabie Saoudite, dans les Emirats ou plus largement au Maghreb, en Afrique ou dans le Golfe Persique ?.... Réponse : 0 !... Mais par contre on égorge  les Chrétiens à la sortie des quelques églises qui restent dans certains de ces pays là !  MAIS JUSQU'OU IRA-T-ON DANS LA CONNERIE ? La mosquée de la Tour Eiffel « sera financée à 50 % par de l’argent public », nous dit- on… C'est-à-dire avec les impôts des contribuables Français, ce pays d’origine chrétienne  dont l’Etat revendique officiellement sa laïcité et sa séparation de l’Eglise et des  cultes ? C’ EST UN VERITABLE SCANDALE !!! FAITES SUIVRE AU + GRAND NOMBRE DE VOS CONTACTS puisque les journalistes n'en parlent pas !!!! "
"DESINFORMATION";"Chrétiens brûlés vifs";"Avril 2011";"Attention, ce message contient une photo pouvant choquer les personnes sensibles. Chrétiens brûlés vifs par des musulmans sunnites Nigérien  UNE HORREUR REGARDEZ PLUS BAS !!!!!!!Et ils sont, parait-il, tolérants !!!mais ils ont du pétrole !!!et.....................Juppé ne dit rien ? pourquoi n'en a-t-on rien dit à la télé? Il ne fallait sans doute pas heurter ces CHERS  envahisseurs    Voila une image que je n'avais jamais vue aux journaux télévisés. Peur de voitures brûlées en représailles sans doute!"
"DESINFORMATION";"suicide collectif des Guarani";"Janvier 2015";"Une Tribu Guaranis de la forêt amazonienne Pourchassés, harcelés, destitués et privés de leurs espaces de vies séculaires, de leurs droits et légitimité, n’acceptant pas le tribut sous forme de Diktat avilissant de la civilisation, ne pouvant plus lutter contre les intérêts des systèmes d’exploitation de la forêt Amazonienne Quel plus affligeant et infamant constat se précipitant à l’encontre de nos Mondes Civilisés que ce terrible évènement, quel constat d’échec de nos politiques qui évoluent dans l’indifférence totale des minorités en danger d’extinction, Quel accroc, quelle blessure mortelle perpétrés contre les notions de patrimoine de l’Humanité, destituant à jamais la Dignité même de tout système et société à visage humain ! Ah, la SDN, l’ ONU, le Grands G20 !!! Quelle vérité jeté à la face des mondes riches et placés, informés, distants à ce sujet que cette tribu qui se donne la mort en échange de la reconnaissance de toute une souffrance , de là, la révélation consternante, émouvante, le martyre d’une existence, d’une lente agonie et de viles persécutions ! Qui est le Responsable ? Si ce n’est ce terrible système, aux allures effrénées que le fric entretient, comme le charbon nourrissait la chaudière du tender et de la locomotive il y a deux siècles bientôt ? Voici le nouveau train de l’enfer, celui de l’esclavage, de la négation de plus en plus systématique du faible, de la minorité, de l’authenticité face aux froideurs systémiques de nos technocrates et politiciens ! Quand parviendrons-nous à penser non le Monde mais les Mondes de Toujours, quelques soient leurs niveaux d’organisations ? Penser Pérennité, l’Indispensable, l’Intemporel et non l’enclaver et ne voir que les frontières aunées à une seule existence !"
"DESINFORMATION";"Tsahal et la vieille palestinienne";"Janvier 2015";"Un soldat israHELLien donne de l’eau à une vieille Palestinienne avant de l’abattre, par L. GlauzyExclusivité LLPJE SUIS GHALIACette information, diffusée par le Centre d’information palestinien, a été reprise par le quotidien catholique (traditionnel) italien Effedieffe du 22/1/2015, sous le titre Soldato israéliano dà dell’acqua ad una 74 palestinese, poi le spara in testa. À l’été 2014, lors des bombardements israéliens de la bande de Gaza, un soldat de Tsahal s’est approché d’une dame, une Palestinienne de 74 ans, Ghalya Abu-Rida, pour lui donner une gorgée d’eau. Ce cliché allait servir de propagande. Il y a quelques jours, début 2015, le porte-parole de Tsahal, Avichay Adraee, a montré la photographie comme un exemple de l’humanité de l’armée israélienne envers les civils de la bande de Gaza ! Quand la photographie a été prise, le soldat a abattu la dame d’une balle dans la tête, à un mètre de distance, en regardant son corps se vider de son sang.Qdeh, un journaliste d’Al-Aqsa TV, a assisté à la scène : Ghalya Ahmad Abu-Rida vivait dans la zone de Khuza’a, dans la partie orientale de la ville de Khan Younis. J’étais dans cette zone pendant l’agression israélienne et j’ai pu faire un reportage filmé, très précis, sur l’histoire de Ghalya. Un soldat israélien s’est approché de la vieille dame palestinienne tout en se faisant photographier par un autre soldat en train de lui donner de l’eau. Il l’a ensuite abattue d’une balle dans la tête, à un mètre de distance, la regardant se vider de son sang. Aucun média français n’a traité cette information. Que la pauvre Ghalya repose en paix loin de ce monde qui se termine.Ghalya était née en 1941. Elle a passé sa vie dans une petite maison, à côté de ses frères, dans le quartier d’Abu-Rida. Elle n’avait pas d’enfants. Son quartier a été l’un des premiers envahis par Tsahal pendant l’agression contre le peuple palestinien.Majed Abu-Rida, neveu de Ghalya, a confirmé aux médias que sa tante était presque aveugle. Elle a été approchée pour être tuée de sang-froid. Cette Palestinienne fragile aux cheveux blancs avait refusé de quitter sa maison quand l’armée israélienne était arrivée et avait ordonné aux habitants de partir de Khuza’a. Elle pensait que son vieil âge l’aurait protégée des violences de Tsahal, et qu’elle aurait pu rester dans sa maison, évitant ainsi de suivre les habitants dans leur fuite. Le 3 août, les forces israéliennes ont annoncé une trêve permettant au personnel médical d’entrer dans la zone de Khuza’a. Ghalya a été trouvée morte, à l’extérieur de sa maison. Son frère a déclaré que la photographie avait été un signe d’espoir pour la famille de Ghalya : ils pensaient qu’elle était sauve, entre les mains de l’armée israélienne ! Rappelons-nous qu’Israël a conduit une guerre de 51 jours qui a coûté la vie à 2 000 Palestiniens, en blessant 11 000 autres. Tsahal, cette armée de lâches, ne sait tuer que des vieillards et des nouveau-nés. Cette vérité, nous la connaissons très bien. Il faut bien être un politicien sataniste pour cacher de telles horreurs."
"RUMEUR";"Attentat Charlie Hebdo";"Janvier 2015";"La grosse GIFLE ! Lisez bien jusqu’au bout, c’est un pur délice ! Cette réaction de Charlie Hebdo est rare et c’est très bien écrit ! Lettre de Charlie Hebdo à M. Mohammed Moussaoui, Président du C.F.C.M (Conseil Français du Culte Musulman)  Monsieur Moussaoui La Publication du Numéro de “Charlie Hebdo” représentant Mahomet vient de donner lieu une fois encore à des Représailles lamentables de la part d’individus décidément bien peu éclairés que, au titre de Président du C.F.C.M, vous avez le Devoir de canaliser .. Dans “Le Monde” paru ce Mercredi vous affirmez ne pas voir de lien entre les Elections en Tunisie et en Libye et l’Outrage caricatural nous rappelant tant bien que mal ce qu’est la Charia, ou tout au moins sa partie la plus spectaculaire pour le Citoyen Français de base peu au fait de ce qui se passe sur son Sol. Je vous tiens pour quelqu’un d’intelligent et de cultivé.  Vous devez donc savoir qu’en France la Caricature est une Tradition très ancienne et un Art très prisé, qu’aucun Sujet n’y échappe et surtout pas un Sujet d’Actualité, et l’Instauration de la Charia sur un Sol resté longtemps Laïque est un Sujet suffisamment grave et inquiétant pour ne pas faillir à la Règle. La Charia, l’Islam, n’ont pas à faire exception à cette Règle. La Charia est un Système Archaïque fondé il y a 14 Siècles, profondément odieux, sexiste, rétrograde, discriminant et antidémocratique. Dénoncer ce Système par la Caricature est un Procédé visant à en montrer toute l’Abjection. Condamner la Charia, Monsieur, est un Acte de Salubrité Publique nécessaire à la Démocratie dont vous profitez puisque c’est en France que vous vivez en toute Liberté. Jouiriez-vous de la même Liberté au Maroc ou en Algérie ? J’en doute fort, sinon comment expliquer la Présence aussi énorme de Marocains abandonnant le Maroc ou l’Algérie pour la France ? C’est bien que l’air y est plus doux et plus libre ici. Cette Charia, prônée par Le Coran et faisant Partie intégrante de l’Islam (le Coran est la Base de l’Islam, l’Islamisme n’en étant que son Expression la plus spectaculairement virulente), il est hautement souhaitable de s’en inquiéter, d’autant qu’une bonne partie de ceux qui ont permis ce Désastre antidémocratique vivent sur notre Sol et que des Elus « dhimmis » comme les nomme votre Dogme, appellent de leurs voix le Droit de ces Promoteurs Chariamistes de se présenter à des Élections avec les Conséquences terribles qu’on imagine. Vous déclarez que Pour les Musulmans, le simple fait de caricaturer le Prophète est, en soi, inacceptable et blessant. Blessant, je le conçois, mais inacceptable ? Ce qui est inacceptable, c’est d’interdire le Divorce, y compris en France. Ce qui est inacceptable, c’est d’autoriser la Polygamie, y compris en France. Ce qui est inacceptable, c’est de Considérer que la Femme est inférieure à l’homme,” y compris en France.” Ce qui est inacceptable, c’est d’Enfermer les Femmes sous des Linceuls noirs, y compris en France. Ce qui est inacceptable, c’est de Refuser à la Femme d’épouser l’homme de son choix, pour lui faire épouser celui que sa famille a choisi pour elle,y compris en France. Ce qui est inacceptable, c’est qu’il existe un Conseil Européen de la Recherche et de la Fatwa décrétant les Fatwas ayant pour Vocation d’être appliquées en France. En France, Aucune Loi ne punit le Blasphème, comme l’a d’ailleurs démontré la récente Affaire du Coran brûlé, et qui a vu la relaxe de l’Incendiaire. En conséquence en France, Monsieur Moussaoui, il est permis de brûler un Coran si on le souhaite, et de Caricaturer et de se moquer d’un Prophète, fût-il le vôtre. Les différentes Manifestations Hostiles à cette Publication de Charlie Hebdo n’ont pas manqué de fleurir sur les Forums, certains insultant copieusement les Français, d’autres réclamant à grands Cris des Caricatures de juifs de 40, ce qui semble assez loin de votre souhait d’un désaccord exprimé dans le Respect des Lois et de l’Intégrité des personnes. Vous devriez d’ailleurs rappeler à vos Coreligionnaires si bienveillants et aimants envers les Citoyens qui les accueillent, que la Fête de l’Aïd el-Adha qu’ils vont fêter dans quelques jours est un vibrant Hommage à Abraham, un Juif… même si vous l’appelez Ibrahim ! À mon avis, certains doivent ignorer ce Détail au vu du niveau intellectuel remarquablement bas de leurs Commentaires. Dans votre interview, une phrase m’interpelle tout particulièrement : Dans le même temps, ils doivent accepter et comprendre que dans nos Sociétés le Rapport au sacré n’est pas le même pour tous. J’aimerais savoir de quelle Société vous parlez ?* Est-ce la Société Musulmane ,* Est-ce la Société Française ,* Est-ce la Société Marocaine ?* Est-ce la Société Algérienne ou Tunisienne ? Si c’est la Société Marocaine ou Algérienne, c’est que vous ne vous sentez pas FrançaisSi c’est la Société Musulmane ou Algérienne, c’est que vous ne vous sentez pas Démocrateet si c’est la Société Française , je vous rappelle qu’elle n’a aucun Rapport au Sacré puisque séparée du Religieux, depuis qu’une célèbre Loi de 1905 en a décidé ainsi, ce que manifestement, malgré votre Récente Naturalisation, vous ne semblez pas avoir encore bien intégré. D’ailleurs, dans votre Document répertoriant les différents Abattoirs pour l’Aïd, vous illustrez parfaitement la difficulté que vous et vos Coreligionnaires avez à vous considérer comme des Citoyens Français à part entière puisque vous adressez vos voeux aux Musulmans de France et non pas aux Français Musulmans. Je vous invite donc, Vous et vos Coreligionnaires «de France», à vous interroger sur votre Rôle dans notre Société Française, sur votre Capacité à adhérer à nos Valeurs Laïques et Démocratiques, et sur votre Capacité à pratiquer l’Auto-Dérision, car décidément, je vous trouve très coincés du turban et de la babouche. J’attends avec impatience, votre Rapport sur les Actes Islamophobes que vous avez recensés, et ne manquerai pas de compiler de mon côté, les Actes Francophobes que je me ferai un plaisir de vous transmettre à mon tour. Par ailleurs, en cherchant (vainement) vos Coordonnées, je tombe à l’instant sur un Article du site c.f.c.m.t.v, particulièrement insultant pour les Citoyens Français. Je suis très choquée par les Relents de Xénophobie teintée de racisme, de cet Article dans lequel il est question de la France qualifiée de République malade et satanisée, de «protection bienveillante d’un Pouvoir Occulte, qui trouve toute sa Jouissance dans le Spectacle du malheur d’une Frange indésirée de sa Population, de la France victime de son arrogance et de son orgueil. En tant que Représentant des Musulmans en France, vous seriez bien inspiré de veiller à ce que le Pays qui vous accueille, et qui vous a accepté comme Citoyen, ne soit pas insulté et traîné dans la boue par votre Communauté, car si la Loi sur le Blasphème n’existe pas, la Loi sur la Diffamation existe bel et bien. Je vous prierai donc de faire en sorte, que cet Article injurieux soit rectifié, afin de ne pas créer davantage de tensions. Veuillez agréer, Monsieur Moussaoui, mes salutations définitivement laïques."
"DESINFORMATION";"Invasion musulmane (bis)";"Avril 2013";"DUR A CROIRE. CELA FAIT VRAIMENT PEUR………. !!!!!!Cela donne la chair de pouleCertains le prennent à la rigolade, mais allons-nous rire longtemps ????2020 c’est proche !!!C’est incroyable et on laisse faire !!!SI VOUS VOULEZ SAVOIR CE QUI SE PASSE EN FRANCE,REGARDEZ LES TÉLÉVISIONS ÉTRANGÈRES, ET RUSSES EN PARTICULIER…..!Pour une fois, merci les Russes.VIDÉO INTERDITE EN FRANCE MAIS PAS EN RUSSIE…Lorsqu’un enfant français naît sur le territoire français, cinq enfants musulmans naissent en même temps sur ce même territoire français.2.400 musulmans entrent par jour sur le territoire français.Même sans révolution et dans le calme, ils jetteront les français dehors vers l’année 2020, voire bien plus tôt.Il a donc fallu créer des dizaines d’écoles islamiques clandestines dans Paris où il est interdit de parler français.Ghettos musulmans de Paris: 11ème, 18ème, 19ème, 20ème arrondissement, plus toutes les banlieues.Ils ne veulent pas apprendre le français, ni même travailler.Boucheries uniquement Hallal, les propriétaires des boucheries normales ont été menacés de mort et ont quitté précipitamment les lieux.Aujourd’hui 2.200 mosquées en France ont été financées par l’Arabie Saoudite et le Qatar.En France, bientôt 4.400 mosquées seront construites.Pour rester en France les français seront obligés de se convertir à l’Islam, et paieront un impôt sur la religion pour pouvoir rester en vie.(Comme tous les chrétiens en Egypte, Afghanistan, Irak et tous les autres pays musulmans africains).La France se convertit à l’Islam.REGARDEZ BIEN CETTE VIDÉO RUSSE, ELLE EST TRÉS EXPLICITE SUR CE QUI SE PASSE EN FRANCE.CLIQUEZ ICIhttp://www.youtube.com/watch?v=ZDzFedDXAwA&feature=player_embeddedET SURTOUT FAITES SUIVRE"
"DESINFORMATION";"Diffamation en ligne";"Novembre 2014";"http://www.innercitypress.com/frus1serman041011.htmlAfter Fleeing NY Cocaine Charge, French Diplomat Serman Resurfaces in San Francisco as Sarkozy Consul : Press QuestionsBy Matthew Russell Lee, ExclusiveUNITED NATIONS, April 10 -- When French diplomat Romain Serman was arrested in Manhattan in 2006 for “attempting to purchase cocaine” and resisting arrest, he never faced trial or punishment.  As reflected in the New York Police Department arrest document Inner City Press has exclusively published, here, Serman immediately -- or after resisting arrest -- insisted to police that he was a diplomat with the French Mission to the United Nations.  Yet, after fleeing the US to escape this charge in 2006, Serman has re-appeared in the US representing France as its general consul in San Francisco. Several sources interviewed by Inner City Press say this is legally problematic, and may reflect a failure to disclose by France, negligence by the United States -- or both.  When Serman signed the arrest document, he added “Dip. Fr” after his name. And, sure enough, under then French Permanent Representative to the UN Jean-Marc de la Sabliere, Serman left the United States before any trial on the charge of purchasing cocaine.  Back in Paris, Serman was not punished, but rather continued to work for President Nicolas Sarkozy, on Africa and other issues. "
"DESINFORMATION";"3 jours sans soleil";"Octobre 2014";"La NASA confirme que les 3 jours d’obscurité auront lieu cette année en les jours 21, 22 et 23 décembre. La terre restera durant ces 3 jours sans soleil, de nuit c’est à dire dans l’obscurité totale à cause d’une tempête solaire.... C’est le chef de la NASA Charles Bolden qui en a fait l’annonce et demande à tout le monde de garder leur calme. Ce phénomène sera le produit d’une tempête solaire, la plus grande durant les 50 dernières années pour une période de 72 heures..."
"DESINFORMATION";"Vaccin ROR et autisme";"Septembre 2014";"CNN révèle la fraude du CDC: ils ont dissimulé au public 340% de risques d'autisme liés aux vaccins! Découverte d’une fraude au CDC340% de risques d’autisme ont été cachés au public D’après le CNN iReport, 24 août 2014 27/08/2014 – Le lanceur d’alerte du CDC, le Dr William Thompson a publié une déclaration officielle confirmant que l’étude originale avait montré un lien entre le vaccin ROR (Rougeole-Oreillons-Rubéole) et l’autisme, plus spécialement chez les enfants afro-américains, et que le CDC en avait caché les résultats. Un éminent chercheur aux Centres de Contrôle et de Prévention des Maladies (CDC), le Dr William Thompson admet qu’il a joué un rôle clé en aidant à faire apparaître au grand jour la manipulation des données par le CDC. Cette fraude a consisté à dissimuler une incidence plus élevée de l’autisme due au vaccin ROR chez les garçons afro-américains. Le lanceur d’alerte, le Dr William Thompson a avoué les faits après que le Dr Brian Hooker ait réclamé et obtenu, en vertu de la Loi sur la Liberté de l’Information (Freedom of Information Act ou FOIA), les données originales d’une étude portant sur l’autisme, avec l'aide du député américain Darrell Issa, président de la Chambre de surveillance et de la réforme du gouvernement. Les documents du CDC, ainsi que les discussions avec le lanceur d’alerte révèlent une manipulation généralisée des données scientifiques, ainsi qu’une pression (du haut vers le bas)  sur le scientifique du CDC pour supprimer tout lien de causalité entre le vaccin ROR et le diagnostic ultérieur d’autisme, en particulier dans un groupe d’hommes afro-américains qui avaient reçu leur vaccin « à temps » en conformité avec le calendrier recommandé par le CDC. [Suite vers l'article original de Initiative Citoyenne]"
"DESINFORMATION";"Fin du monde NASA";"Mars 2014";"Notre civilisation est condamnée, selon une étude de la Nasa Comme les Romains ou les Mayas avant nous, notre civilisation moderne et industrielle pourrait bien être condamnée à disparaître. C’est ce qu’assure une étude du Centre de vols spatiaux Goddard de la Nasa, rapportée par The Guardian. Ce n’est pas la première fois que l’on prédit la fin du monde. Mais cette fois-ci, ce sont des scientifiques qui avancent l’effondrement de la «civilisation industrialisée». La Radio Télévision Belge (RTBF) appuie en outre la «crédibilité» de cette étude sur le fait qu’elle a été publiée par le «très sérieux Elsevier Journal Ecological Economics». Emmenés par le mathématicien Safa Motesharri, ces chercheurs basent leurs recherches sur un modèle appelé «HANDY», pour Human and And Natural DYnamical. Cette «dynamique nature-humanité» leur a permis d’identifier les facteurs qui ont conduit à la chute d’anciennes civilisations: «la population, le climat, l’eau, l’agriculture, et l’énergie». Comment ces éléments peuvent-ils conduire à l’effondrement d’une civilisation? Lorsqu’ils «convergent pour générer deux fonctions sociales cruciales», explique le Guardian, traduit par la RTBF. «La rareté des ressources provoquée par la pression exercée sur l’écologie et la stratification économique entre riches et pauvres ont toujours joué un rôle central dans le processus d’effondrement. Du moins au cours des cinq mille dernières années» Ainsi, une surexploitation des ressources naturelles combinée à une trop forte disparité entre riches et pauvres, ou entre «élites» et «roturiers», comme ils sont nommés dans l’étude, ont déjà conduit à l’effondrement de civilisations. Dans son essai L’Effondrement, présenté dans Le Monde, Jared Diamond expliquait par exemple comment les Mayas ont couru à leur propre fin. La déforestation et la culture intensive du maïs ont été les premiers pas vers l’écroulement de cette civilisation. L’auteur identifie cinq facteurs qui mènent à l’effondrement d’une civilisation, facteurs qui rejoignent l’étude de la Nasa. Jared Diamond parle entre autres de «dommages irréparables à l’environnement», ou encore des «gouvernements et des élites» qui «aggravent [l’effondrement] par des comportements de caste, continuant à protéger leurs privilèges à court terme». Selon le modèle «Handy», ce sont bien ces types de comportements qui conduiront à la fin de notre civilisation. L’accaparement des richesses par les plus riches pourra mener à la disparition des plus pauvres et à celle de la société toute entière. Les résultats de la recherche présentent deux scénarios possibles. Première possibilité: «Les élites consomment trop, ce qui conduit à une famine parmi les roturiers, ce qui finalement cause l’effondrement de la société» La RTBF précise que «dans ce cas, la destruction de notre monde ne serait donc pas due à des raisons climatiques, mais à la disparition des travailleurs». Le site poursuit en résumant le second scénario: «Le second scénario catastrophe repose sur la surconsommation des ressources qui entraînerait un déclin des populations pauvres, suivie par celui, décalé dans le temps, des populations riches» Selon le mathématicien, cet effondrement est «difficile à éviter». Lui et ses collègues donnent toutefois des pistes pour tenter d’y échapper. «Les deux solutions-clés sont de réduire les inégalités économiques afin d’assurer une distribution plus juste des ressources, et de réduire considérablement la consommation de ressources en s’appuyant sur des ressources renouvelables moins intensives et sur une croissance moindre de la population»"
