type_rumor;title;date;content
"RUMEUR";"Whole Foods has removed Israeli products from its shelves and replaced them with Muslim-approved products.";"August 2011";"One of the reasons muslims tend to exaggerate their numbers (no one really knows how many there are in this country, legally and illegally) is to be able to exert more influence in government and commerce. Marketing giant Whole Foods has swallowed islam's numbers campaign hook, line, and sinker. Whole Foods not only supports the Hamas terror training schools, it removes Israeli products and replaces them with those approved by the Arab-muslim occupiers of Israel's historic lands. If you support Israel if you oppose terrorism if you believe in free enterprise  TAKE YOUR BUSINESS ELSEWHERE.  They issue great-sounding PR statements saying one thing a quick look at their actions proves the reverse.  Whole Foods may be hallal for the Arab-muslims who wish to kill Jews, but it is strictly TRAIF for all Jews who wish to survive.  (I know from experience that Trader Joe, which carries similar products, rejected attempts by Arab boycotters to remove Israeli products from their shelves their prices are also MUCH better!) AVOID WHOLE FOODS AT ALL COSTS! Is this true?"
"RUMEUR";"Actress Natalie Portman made a $50 million donation to a hospital in Israel.";"March 2011";"Oscar Winner, Natalie Portman, makes major donation to Hadassah Hospital.  Hadassah Hospital received a $50 million donation last week from a woman who was born there - famed actress Natalie Portman.  Portman's donation is earmarked for an improved and expanded emergency trauma center. The Hadassah Women's Zionist movement is behind the project. The expansion will enable three times as many victims to be treated at once.  At a ceremony last week at the Jerusalem Theater, Dr. Kobi Assaf, Hadassah Hospital's director of surgery and shock trauma, said the expansion of the trauma center will save many lives. One of the most crucial things we can do for trauma patients is treat them quickly, he said. The new unit is arranged specifically to do that everything we need to treat them is right here."
"RUMEUR";"Princess Cruises has ceased making stops in Israel.";"June 2010";"Yesterday, 6/2/2010, the Pacific Princess, carrying 700 passengers, canceled a stop at Ashdod, Israel .  Instead, they informed the passengers they would stop in Egypt as an alternative.  Princess is now bowing to pressure and boycotting Israel .  Please pass this on to all Jewish Americans in order to let them know that there are alternatives to Princess."
"RUMEUR";"Angelina Jolie said she hates Israel and wants those people eradicated.";"July 2007";"Before you go see another Angelina Jolie movie, read these facts about this so called great star. See if you want to make her life style even better.  She has publicly stated both verbally and in writing the following horrible statements:  She hates American trouble makers and say they do not act like the finer Europeans, She hates The American Fascist Government. Most of all she hates The State of Israel. It should be completely obliterated. together WITH THOSE PEOPLE  She believes in freedom of the press, except for herself. Will not allow certain TV Stations to come to her opening, and no Reporter can make any statements before she sees them and must sign a contract that if she doesn't like what they print, she will sue them for millions. Every news outlet including the Liberal and Conservative Media has condemned her statements, including those not allowing certain stations to attend.  It is ironic that she plays the wife of Jewish Reporter David Pearl in her new film, after her anti Israel and THOSE PEOPLE remarks. Her comments have been condemned by many Americans and the Israelis press. Her biggest condemner is her father actor Jon Hoyt, who says his daughter is very misguided and sometimes hateful  PLEASE PASS THIS ON TO EVERY ONE WHO LOVES AMERICA AND BELIEVES THAT ISRAEL MUST SURVIVE FOR MANKIND TO SURVIVE IF YOU DO NOT FEEL THIS WAY ABOUT AMERICA AND ISRAEL THEN JUST DELETE THANK YOU"
"RUMEUR";"Image shows front-page New York Times articles from 1943 about the Warsaw Ghetto Uprising.";"2006";"This is supposedly a NY Times cover about the Jewish uprising in the Warsaw Ghetto — looks fake to me"
"RUMEUR";"Message from Starbucks Chairman Howard Schultz extols the company's contributions to Israel.";"2006";"A Thank You to All Starbucks Customers Written by Howard Schultz  Tuesday, 11 July 2006  Dear Starbucks Customer,  First and foremost I want to thank you for making Starbucks the $6.4 billion global company it is today, with more than 90,000 employees, 9,700 stores, and 33 million weekly customers. Every latte and macchiato you drink at Starbucks is a contribution to the close alliance between the United States and Israel, in fact it is — as I was assured when being honored with the Israel 50th Anniversary Friend of Zion Tribute Award — key to Israel's long-term PR success. Your daily chocolate chips frappucino helps paying for student projects in North America and Israel, presenting them with the badly needed Israeli perspective of the Intifada.  Starbucks, through the Jerusalem Fund of Aish HaTorah, an international network of Jewish education centers, sponsors Israeli military arms fairs in an effort to strengthen the special connection between the American, European and Israeli defense industries and to showcase the newest Israeli innovations in defense. As my contribution to the fight against the global rise of anti-Semitism, the reason behind the current conflict in the Middle-East, I help Aish HaTorah sponsoring the website honestreporting.com and produce material informing of Israel's side of the story.  Without you, my valued customer, I wouldn't be able to raise hundreds of millions of dollars each year to support Israeli citizens from terrorist attacks and keep reminding every Jew in America, to defend Israel at any cost. $5 billion per year from the US government are no way near enough to pay for all the weaponry, bulldozers and security fences needed to protect innocent Israeli citizens from anti-Semitic Muslim terrorism. Corporate sponsorships are essential.  Having the bigger picture in mind, Starbucks have donated a store to the US army to help in the War on Terror. I cannot emphasize enough, how vital the War on Terror is for the continued viability and prospering of the Jewish State.  So next time you feel like chilling out at a Starbucks store, please remember that with every cup you drink at Starbucks you are helping with a noble cause. Howard Schultz  Chairman & Chief Global Strategist  Starbucks Coffee Stores"
"RUMEUR";"On 9 March 2003, CBS will be airing a half-hour program devoted to telling the stories of Israel Defense Forces soldiers from their point of view.";"2003";"CBS is having an unprecedented program this Sun., Mar. 9, at 9:00 am (8:00 central). The entire half-hour will be devoted to telling stories of Israel Defense Forces soldiers, from their point of view.  Watch it, or tape it, if you can.  Just as important, call the TV station afterwards, to compliment them on their coverage. We know that they will get tons of calls and emails criticizing the program, so it's VERY important to balance the feedback!!  Please forward this to all your friends.  CONTACT INFO FOR CBS:  www.cbsnews.com  542 W. 57th St.  New York, NY 10019  News Desk:  Phone: (212) 975-4321, 975-3691  Fax: (212) 975-1893  Managing Editor: Chris Hume  Phone: (212) 975-3019  Fax: 212) 245-7560  http://cbsnews.cbs.com/feedback/frames/0.1712.412.00.html"
"RUMEUR";"Changes to immigration policy announced in November 2014 make illegal immigrants eligible to collect amnesty bonuses of up to $24,000.";"February 2015";"Fox News and other Conservative web sites stating that immigrants who do not pay taxes could get tax refunds due to Obama immigrant amnesty program.     Illegal Immigrants Get Tax Refunds Without Paying Taxes  Illegal immigrants are receiving tax refunds despite not having paid taxes, the Washington Times reported yesterday. The Internal Revenue Service (IRS) under the Obama Administration is allowing illegal immigrants to claim the Earned Income Tax Credit for last year's taxes as well as those in the past."
"RUMEUR";"A bevy of tax increases were quietly imposed upon Americans in January 2015 due to the Affordable Care Act.";"August 2014";"OUR NEW 2015 TAXES DUE  Those that think this is the way to improve the economy might as well delete now.  A reminder for those who forgot or for many that didn't know:  Here is what will happen on January 1, 2015:  Top Income Tax bracket went from 35% to 39.6%  Top Income Payroll Tax went from 37.4% to 52.2%  Capital Gains Tax went from 15% to 28%  Dividend Tax went from 15% to 39.6%  Estate Tax went from 0% to 55%  Remember this fact:  These taxes were all passed only with democrat votes, no republicans voted for these taxes.  These taxes were all passed under the Affordable Care Act, aka Obamacare. If you think that it is important that everyone in the U.S. should know this, pass it on. If not, then delete it. "
"RUMEUR";"Image shows an AT&ampT telephone bill with a Lawful Interception Recovery Fee to cover government wiretaps.";"August 2013";"Are We Paying a Tax to Fund the NSA Spying on Americans?  I was looking at my bill and didn't know what this lawful interception charge was ... I googled it ... WIRE TAPPING!!! I called and they said it was a new fee for the vost incurred by the government. I don't have anything to hide so if they wanna tap my phone go ahead ... but why should I have to pay for it??!!! This is ridiculous, please share this so we can get the word out there. Oh, and check your phone bills people!!"
"RUMEUR";"Chart shows eleven death spiral states where more people are on welfare than are employed.";"January 2013";"[Collected via e-mail, January 2013] Death Spiral  These 11 States now have More People on Welfare than they do Employed!  And Surprise-Surprise!!! These States vote straight democrat ticket every election - living on the government plantation.  This Just Proves that The Majority of Americans have No Intentions of Making a Better Independent Life for Themselves and their Families and are content Living on The Tax Payers Dime for Eternity!"
"RUMEUR";"Account describes a customer purchasing a single grape to obtain cash back from an EBT card.";"October 2012";"At approximately 2:30 pm, September 6, 2012, I entered the Publix store on Main St. in Gainesville, FL to pick up a few items. I gathered my items and went to the 10 and under register to check-out. The person in front of me (a white female, approximate age 35-43, fake nails, big braided hair do, clean clothes, carrying a purse and a plastic drinking cup) put her purchase on the checkout surface - ONE GRAPE.  Yes, that is correct ONE GRAPE. The cashier asked if that was all, she replied yes. The cashier then weighted the GRAPE and told the women the cost was $.02 (TWO CENTS), the women then pulled out her Food Stamp EBT card and swiped it through the credit card machine, requesting $24.00 in cash back. The cashier asked if she wanted the GRAPE, the woman replied no and the GRAPE was put in the garbage can. The register recorded the sale as .02, cash back $24.00. The cashier then asked if two fives would be okay because was out of tens, the woman agreed and took the $24.00 folded it up and put it in her pocket and left the store.  As the next person in line I asked the cashier as a taxpayer what in the hell just happened here she said she was on the clock and could not comment. I then asked if I had actually seen this person purchase and discard a GRAPE, then get cash back on her Food Stamp EBT card. The cashier responded that it happens all day every day in their store. She also said that if the person buying the GRAPE has it rung up over .02 they get mad and make her reweigh it.  My next comment was to ask the cashier if she planned to vote in November and she said she could hardly wait for 11/6/12 to get here as one taxpayer to another."
"RUMEUR";"The Obama administration is proposing a 1% tax on debit card usage and/or banking transactions.";"July 2010";"The Transaction Tax! WHAT THE HELL IS THIS?? President Obama's finance team and Nancy Pelosi are recommending a 1% transaction tax on all financial transactions.  The bill is HR-4646 introduced by US Rep Peter deFazio D-Oregon and US Senator Tom Harkin D-Iowa. Their plan is to sneak it in after the November election to keep it under the radar.  See what Nancy has to say about this wonderful idea! http://tinyurl.com/24dn5ud It's only 1%! This is a 1% tax on all transactions to or from any financial institution i.e. Banks, Credit Unions, Mutual funds, Brokers, etc.  Any deposit you make will have a 1% tax charged.  Any withdrawal you make, 1% tax.  Any transfer within your account, a transfer to or from savings and checking, will have a 1% tax charged.  Any ATM transaction, withdrawal or deposit, 1% tax.  If your pay check or your Social Security is direct deposited, 1% tax.  If you carry a check to your bank to deposit, 1% tax.  If you take cash in to deposit, 1% tax.  If you receive any income from a bond or a dividend from stock, 1% tax.  Any Real Estate Transaction, 1% tax.  This is from the man who promised that if you make under $250,000 per year, you will not see one penny of new tax! Remember, he is completely honest and trustworthy.  Keep your eyes and ears open.  Folks, Nancy says this would be a minimal tax on the people, but 1 percent every time you pay a bill or make a deposit is not minimal. This would no doubt tax investment transactions as well as bank account transactions.  This woman is nuts!!!  If you know someone in California get this to them!     While at the checkout of Wal-mart in Greeneville, TN I heard that in the future the government may be planning to place a 1% tax on people using debit cards at the check out.     I have heard discussion and seen on emails the fear that the Obama administration is going to pass a 'banking tax' that will take 1% of each deposit and 1% of every transaction out of a bank account."
"RUMEUR";"An Illinois woman with eight children earns $144,000 per year for her family by giving up her kids to foster care.";"August 2010";"[Collected via e-mail, August 2010] I was speaking to an emergency room physician this morning. He told me that a woman in her 20's came to the ER with her 8th pregnancy. She stated my momma told me that I am the breadwinner for the family. He asked her to explain. She said that she can make babies and babies get money for the family. The scam goes like this: The grandma calls the Department of Children and Family Services and states that the unemployed daughter is not capable of caring for these children. DCFS agrees and states that the child or children will need to go to foster care.  The grandma then volunteers to be the foster parent, and thus receives a check for $1500 per child per month in Illinois. Total yearly income: $144,000 tax-free, not to mention free healthcare (Medicaid) plus a monthly Link card entitling her to free groceries, etc, and a voucher for 250 free cell phone minutes per month. This does not even include WIC and other welfare programs. Indeed, grandma was correct in that her fertile daughter is the breadwinner in the family."
"RUMEUR";"By default, all U.S. federal income tax refunds paid in 2010 will be issued in the form of U.S. savings bonds.";"January 2010";"Please be aware that when filing your income taxes for 2009 earnings, the IRS has decided that all refunds due clients will be paid in US Savings Bonds unless you choose to opt out. So watch carefully and find the area on the forms or inform your preparer of your intentions regarding this. I would think that MOST PEOPLE would not want to receive savings bonds as opposed to a refund check in the event of a refund coming to them."
"RUMEUR";"The IRS has moved its offices from Washington, D.C., to Costa Rica.";"2007";"The IRS seems to have disappeared from Washington, D.C.  There are some strong rumors coming to us today that some very major things are going to begin to happen in our country (and around the world) starting possibly as early as tomorrow.  These may be rumors or they may not be — only time will tell.  Our researcher just got back from Washington, D.C., and he confirmed that the IRS has moved out of 1111 Constitutional Avenue and only security police are there.  Empty building.  I know for a fact that a large chunk of the IRS has been moved to Costa Rica."
"RUMEUR";"If John Kerry were elected President, the Secret Service would have to protect him and every property he owns for the rest of his life.";"2004";"You will pay upkeep/Secret Service for 5 Kerry mansions.  It is good to be John F. Kerry....... The F stands for Forbes in case you ever wondered.  He is one of the richest Senators in Government. When someone is elected president, it means the Secret Service has to protect the President and his family as well as his property.  The Kerry's have five US properties not counting the several foreign properties they own too. The cost to run these homes are more than what the average American could afford, even if the rent was free, and all you had to pay the water, gas & electric. Including ground keepers, maintenance, pool, and house keepers. To be President would require the taxpayers to pay for all that now if elected. Including a complete staffed Secret Service security 24 hours a day. In addition to that we will have to pay for each of their homes for security improvements even if they never go to them all there is that just in case. Who do you think will pay for all this? We Pay!  This takes all the expense off Kerry and puts it on us. Nevertheless, factor another major cost to Americans that Kerry does not want you to know about.  Becoming president would automatically include taking care of all their properties with Secret Service Agents that includes 5 agents per 6 hour shift 4 times a day 365 days of the year for the rest of their lives so long as they own those properties. It comes with being President once you are elected. It requires us the taxpayers, to pay for this as well as his annual salary as well as his retirements including the cost of living adjustments to boot.  These salaries and agents protect all their real estate property with Secret Service Agents and pay the bills for the rest of his life.  In addition, feed the Secret Service Agents and rotate new ones every 6 hours for the rest of his life.  Do the math. Five properties need to be protected. This requires five Secret Service Agents per shift, daily every six hours, per property! That is 20 Secret Service Agents per day per property everyday including Holidays. Wow, what does that cost?  Lets say an average of 20 agents per property, each earning a about $60K per agent to survey the perimeters and protect. Now times that by five properties so far. That is if the Kerry's do not buy any more properties afterwards. This also includes the Agents vehicles and repairs, gas, meals, days off, paid vacation, and medical plan visits etc per agent.  Who pays? YOU pay, the whole time they are alive after becoming President! Is this the best use of our tax money electing Kerry to take care of all their properties both foreign and domestic? On the other hand, shouldn't he pay for his own? Yet, the Presidential salary could not afford it.  The more I think about paying for Kerry's properties everyday, just makes me happy keeping President Bush all the more merrier. Without raising taxes to boot.  How on earth would Kerry pay for everyone to have Healthcare, increase our military, and have us pay to protect his investments, all without raising our taxes? Tax and spend Kerry is his party motto.  Which really has to make you wonder why anyone with his wealth, would take a salary of that of a U.S. Senator, never mind wanna be President? Do you believe him now why he needs to be the Prez? To serve the people? On the other hand, the people serve Him and his wife!  IF YOU AREN'T COMPLETELY APPALLED, THEN YOU HAVEN'T BEEN PAYING ATTENTION"
"RUMEUR";"Claim:  Senator John Kerry made disparaging remarks after viewing President Ronald Reagan's casket. Status:  False.Example:  [Collected on the Internet, 2004] PIOUS KERRY!  I FOUND THIS QUOTE FROM KERRY. I HOPE NONE OF YOU WERE GOING TO VOTE FOR HIM, BUT IF YOU WERE, THINK ABOUT WHAT HE IS SAYING. ESPECIALLY THE LAST LINE, RECLAIM OUR COUNTRY FROM THE CHURCH GOERS. WOW!!!!  HE WAS AT THE VIEWING OF REAGAN'S BODY IN CALIFORNIA.  This moment in Simi Valley is a moment of truth, Kerry said. Not just for my campaign, but for the future of my party as well. For some of us, this may be our only chance to confirm the demise of the man who is solely responsible for turning the American people away from liberal philosophy. As Democrats, we need to put small differences aside and be certain that this man is truly gone. Next, we must reclaim our country from the church-goers, the middle America folks and the uneducated conservative masses. Origins:  After the passing of President Ronald Reagan  in June 2004, Senator John Kerry cancelled scheduled campaign events and suspended his campaign activities for a week as a display of respect for the former president. Senator Kerry also made a visit to the Ronald Reagan Presidential Library in Simi Valley, California, to pay his respects as President Reagan's body lay in repose at the presidential library, and the Senator attended the state funeral held for the former president a few days later at Washington's National Cathedral.  The words quoted above were never spoken by Senator Kerry they're an e-mailed excerpt taken from a spoof news article (Kerry Endures Heat and Low-Life Scum to Make Sure Reagan is Really Dead) published on kerrycore.com, a John Kerry parody site.  What the press reported Senator Kerry actually said at the time he visited the Reagan Library was:  I didn't agree with a lot of the things he was doing, obviously, Kerry said of Reagan, whom he called a very likable guy. But he added that he got along well with the Republican, was able to work with him and visited the White House a number of times during his two terms. Last updated:  28 July 2004  Urban Legends Reference Pages &copy 1995-2015 by snopes.com.  This material may not be reproduced without permission.  snopes and the snopes.com logo are registered service marks of snopes.com.     Sources:   Branigin, William.  Thousands Bid Farewell to Reagan in Funeral Service.   The Washington Post.  11 June 2004.   Associated Press.  Kerry Pays Respects to Reagan.   CBSNews.com.  8 June 2004.";"2004";"PIOUS KERRY!  I FOUND THIS QUOTE FROM KERRY. I HOPE NONE OF YOU WERE GOING TO VOTE FOR HIM, BUT IF YOU WERE, THINK ABOUT WHAT HE IS SAYING. ESPECIALLY THE LAST LINE, RECLAIM OUR COUNTRY FROM THE CHURCH GOERS. WOW!!!!  HE WAS AT THE VIEWING OF REAGAN'S BODY IN CALIFORNIA.  This moment in Simi Valley is a moment of truth, Kerry said. Not just for my campaign, but for the future of my party as well. For some of us, this may be our only chance to confirm the demise of the man who is solely responsible for turning the American people away from liberal philosophy. As Democrats, we need to put small differences aside and be certain that this man is truly gone. Next, we must reclaim our country from the church-goers, the middle America folks and the uneducated conservative masses."
"RUMEUR";"Senator John Kerry voted to kill every military appropriation for the development and deployment of every weapons systems since 1988.";"2004";"Sen. John Kerry  Democrat from Massachusetts  HE says he is strongest  Presidential Candidate on National Defense!  He said Check the Record..  We Did !  Here is what we learned.  He voted to kill the B-1 Bomber  He voted to kill the B-2 Stealth Bomber He voted to kill the F-14  He voted to kill the F-15 Strike Eagle  He voted to kill the F-16  He voted to kill the AV-8B Harrier Vertical Takeoff and Landing Jet Fighter  He voted to kill the AH-64 Apache Helicopter  He voted to kill the Patriot Anti-Missile System  He voted to kill the Aegis Anti-Aircraft System  He voted to kill the Trident Missile System  He voted to kill the M-1 Abrams Tank  He voted to kill the Bradley Fighting Vehicle  He voted to kill the Tomahawk Cruise Missile  In short, he voted to kill every military appropriation for the development and deployment of every weapons systems since 1988 to include the battle armor for our troops. With Kerry as president our Army will be made up of naked men running around with sticks and clubs."
