,url,label
0,"['http://t.co/BoYvGQD8WA', 'http://t.co/tnijKVgpG3']",no-clickbait
1,['http://t.co/QePVttBP7v'],no-clickbait
2,"['http://t.co/fIIanXSxaa', 'http://t.co/kNa6ljJK8c']",no-clickbait
3,['http://t.co/KPf7uPPLgy'],no-clickbait
4,['http://t.co/uccnonQyXX'],no-clickbait
5,"['http://t.co/GruoD1KWSL', 'http://t.co']",no-clickbait
6,"['http://t.co/ISYmIjTaWn', 'http://t.co/TAiNdJyjFE']",no-clickbait
7,['http://t.co/wkydlF0aUi'],clickbait
8,"['http://t.co/Sx8CUNcq15', 'http://t.co/9OFzIFtBz4']",no-clickbait
9,"['http://t.co/oaYU3gdlEx', 'http://t.co/tWfoA69kAc']",clickbait
10,['http://t.co/3YDlZ99w8x'],no-clickbait
11,"['http://t.co/PwRTMaPLsl', 'http://t.co/WgdfHjsLFq']",clickbait
12,['http://t.co/s1KzYvMPkd'],clickbait
13,"['http://t.co/MbNj191Pa1', 'http://t.co/rWF7OeRNWg']",no-clickbait
14,"['http://t.co/oijQpoFRo4', 'http://t.co/ekCbIvLrrC']",clickbait
15,"['http://t.co/E9x7EXE8Aw', 'http://t.co/2NzFgf5Ekw']",no-clickbait
16,['http://t.co/IXrXWgPnbq'],no-clickbait
17,['http://t.co/8unzUru7Sa'],clickbait
18,"['http://t.co/YXAd6cb64K', 'http://t.co/KYv3FP5AHA']",no-clickbait
19,['http://t.co/DgdfRNAcZS'],no-clickbait
20,"['http://t.co/LyBEudlP1H', 'http://t.co/engzpuu6le']",clickbait
21,['http://t.co/ghY1Synazb'],no-clickbait
22,['http://t.co/5SB1HrpZTZ'],no-clickbait
23,"['http://t.co/yEajiCW8Sb', 'http://t.co/ThqlPKRxs3']",no-clickbait
24,"['http://t.co/4WqKY2GcnN', 'http://t.co/enlfyB27lF']",no-clickbait
25,['http://t.co/R3fcC59nS0'],no-clickbait
26,['http://t.co/dmnbEF2SJe'],no-clickbait
27,"['http://t.co/frlmNtiDuw', 'http://t.co/eetdr2FiU1']",no-clickbait
28,['https://t.co/XBIy6iWHQb'],clickbait
29,"['http://t.co/kFpTSwp6Vc', 'http://t.co/iV2TQMZnyU']",no-clickbait
30,['http://t.co/rqAU4wYOfu'],clickbait
31,"['http://t.co/SCcCLHBKnq', 'http://t.co/mk3KrQRw21']",no-clickbait
32,['http://t.co/n21KxmmoeF'],no-clickbait
33,"['http://t.co/KuKGxbIVvP', 'http://t.co/GqekwInUcc']",no-clickbait
34,['http://t.co/ZYCLdsmipk'],no-clickbait
35,"['http://t.co/38FSpTjSZ3', 'http://t.co/v8LPb9xxg0']",no-clickbait
37,"['http://t.co/bUIb7AijA8', 'http://t.co/XRoHX6SEIK']",no-clickbait
38,"['http://t.co/rFxO9b1cKJ', 'http://t.co/5PAFev6OH8']",no-clickbait
39,['http://t.co/2jg2YkOz9q'],no-clickbait
40,"['http://t.co/8RWPOjx8nJ', 'http://t.co/dTYqdmXZ4w']",no-clickbait
41,['http://t.co/akTT5OYEL6'],clickbait
42,['http://t.co/cKQGHaPy3g'],no-clickbait
43,['http://t.co/QpAuFZab6F'],no-clickbait
44,['http://t.co/peNZbATfeF'],clickbait
45,['http://t.co/zTr0qP012Y'],no-clickbait
46,"['http://t.co/5bdTFs8hCg', 'http://t.co/fwgxg8Ioiz']",no-clickbait
47,"['http://t.co/l8lYR5PwxD', 'http://t.co/3ua2LkAcF8']",no-clickbait
48,['http://t.co/F3cEU8dz9S'],no-clickbait
49,"['http://t.co/xcPGC1F7x5', 'http://t.co/D']",clickbait
50,"['http://t.co/1dY0FXLh1l', 'http://t.co/2grKpSevZR']",no-clickbait
51,"['http://t.co/dqqmOqRUj7', 'http://t.co/NZVkpt7WVi']",no-clickbait
52,"['http://t.co/K2O5Y2J2P7', 'http://t.co/67y0GEjDk9']",no-clickbait
53,"['http://t.co/yBL3FTJVTi', 'http://t.co/pdCktbOiTg']",no-clickbait
54,['http://t.co/psFy0CHf05'],no-clickbait
55,"['http://t.co/xMcUPW9bXK', 'http://t.co/uBJBs']",no-clickbait
56,"['http://t.co/WZi3D7DJDK', 'http://t.co/RvJzQM2Nyf']",clickbait
57,['http://t.co/LeGkdRw6tF'],no-clickbait
58,"['http://t.co/x5EZ8owGKL', 'http://t.co/WtiWrgZ4UB']",no-clickbait
59,['http://t.co/gVS6tnh8zw'],clickbait
60,"['http://t.co/yQanaLDkjZ', 'http://t.co/zO46BpFoYM']",clickbait
61,['http://t.co/6U6'],no-clickbait
62,"['http://t.co/DSMTngFXGg', 'http://t.co/xMJ7KeUMxr']",no-clickbait
